-2.4	-2.1	15	20	0.979823	0	0
-2.4	-2.1	20	25	0.953809	0	0
-2.4	-2.1	25	30	0.963776	0	0
-2.4	-2.1	30	35	0.965429	0	0
-2.4	-2.1	35	40	0.963599	0	0
-2.4	-2.1	40	45	0.965079	0	0
-2.4	-2.1	45	1000	0.962282	0	0
-2.1	-1.85	15	20	0.983883	0	0
-2.1	-1.85	20	25	0.984548	0	0
-2.1	-1.85	25	30	0.982869	0	0
-2.1	-1.85	30	35	0.979769	0	0
-2.1	-1.85	35	40	0.978988	0	0
-2.1	-1.85	40	45	0.981799	0	0
-2.1	-1.85	45	1000	0.978031	0	0
-1.85	-1.6	15	20	0.988835	0	0
-1.85	-1.6	20	25	0.972516	0	0
-1.85	-1.6	25	30	0.963303	0	0
-1.85	-1.6	30	35	0.969227	0	0
-1.85	-1.6	35	40	0.967001	0	0
-1.85	-1.6	40	45	0.967374	0	0
-1.85	-1.6	45	1000	0.963325	0	0
-1.6	-1.4	15	20	0.987333	0	0
-1.6	-1.4	20	25	0.984652	0	0
-1.6	-1.4	25	30	0.986004	0	0
-1.6	-1.4	30	35	0.98718	0	0
-1.6	-1.4	35	40	0.992457	0	0
-1.6	-1.4	40	45	0.990104	0	0
-1.6	-1.4	45	1000	0.987402	0	0
-1.4	-1.2	15	20	0.993843	0	0
-1.4	-1.2	20	25	0.994016	0	0
-1.4	-1.2	25	30	0.987476	0	0
-1.4	-1.2	30	35	0.990707	0	0
-1.4	-1.2	35	40	0.992387	0	0
-1.4	-1.2	40	45	0.995081	0	0
-1.4	-1.2	45	1000	0.991345	0	0
-1.2	-1	15	20	0.982678	0	0
-1.2	-1	20	25	0.981004	0	0
-1.2	-1	25	30	0.98507	0	0
-1.2	-1	30	35	0.985923	0	0
-1.2	-1	35	40	0.986348	0	0
-1.2	-1	40	45	0.986974	0	0
-1.2	-1	45	1000	0.98736	0	0
-1	-0.8	15	20	0.968574	0	0
-1	-0.8	20	25	0.989976	0	0
-1	-0.8	25	30	0.988301	0	0
-1	-0.8	30	35	0.990528	0	0
-1	-0.8	35	40	0.987218	0	0
-1	-0.8	40	45	0.987153	0	0
-1	-0.8	45	1000	0.984585	0	0
-0.8	-0.6	15	20	0.985273	0	0
-0.8	-0.6	20	25	0.982796	0	0
-0.8	-0.6	25	30	0.984303	0	0
-0.8	-0.6	30	35	0.988985	0	0
-0.8	-0.6	35	40	0.991452	0	0
-0.8	-0.6	40	45	0.992397	0	0
-0.8	-0.6	45	1000	0.990077	0	0
-0.6	-0.4	15	20	0.958163	0	0
-0.6	-0.4	20	25	0.966065	0	0
-0.6	-0.4	25	30	0.99008	0	0
-0.6	-0.4	30	35	0.988729	0	0
-0.6	-0.4	35	40	0.98881	0	0
-0.6	-0.4	40	45	0.990527	0	0
-0.6	-0.4	45	1000	0.990084	0	0
-0.4	-0.2	15	20	0.97405	0	0
-0.4	-0.2	20	25	0.971908	0	0
-0.4	-0.2	25	30	0.978891	0	0
-0.4	-0.2	30	35	0.978484	0	0
-0.4	-0.2	35	40	0.982678	0	0
-0.4	-0.2	40	45	0.98312	0	0
-0.4	-0.2	45	1000	0.980507	0	0
-0.2	0	15	20	0.949196	0	0
-0.2	0	20	25	0.972562	0	0
-0.2	0	25	30	0.975735	0	0
-0.2	0	30	35	0.979469	0	0
-0.2	0	35	40	0.980346	0	0
-0.2	0	40	45	0.984257	0	0
-0.2	0	45	1000	0.981587	0	0
0	0.2	15	20	0.96963	0	0
0	0.2	20	25	0.971534	0	0
0	0.2	25	30	0.978926	0	0
0	0.2	30	35	0.982587	0	0
0	0.2	35	40	0.980178	0	0
0	0.2	40	45	0.984295	0	0
0	0.2	45	1000	0.98336	0	0
0.2	0.4	15	20	0.944654	0	0
0.2	0.4	20	25	0.970841	0	0
0.2	0.4	25	30	0.981581	0	0
0.2	0.4	30	35	0.978072	0	0
0.2	0.4	35	40	0.975881	0	0
0.2	0.4	40	45	0.982165	0	0
0.2	0.4	45	1000	0.977415	0	0
0.4	0.6	15	20	0.980039	0	0
0.4	0.6	20	25	0.981572	0	0
0.4	0.6	25	30	0.984529	0	0
0.4	0.6	30	35	0.985896	0	0
0.4	0.6	35	40	0.990297	0	0
